,0
0,"
graph LR
0[""StartNode""] --> 1[""Interview Patients""]
1 --> 2{""Ask for external expertise""}
2 --> |Produce Expertise|3[""File results and expertise""]
3 --> 4[""Create Report""]
4 --> 5{""Check if expert responded in time""}
5 --> |Yes|6[""Forward report to referee""]
6 --> 7[""Fill out check to pay""]
7 --> 8[""EndNode""]
5 --> |No|9[""Ask for external expertise""]
9 --> 5
"
1,"
graph LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2{""Fees Required?""}
2 --> |""Yes""|3[""Create purchase request""]
2 --> |""No""|6[""Register post-seminar results""]
3 --> 4{""Purchase Approved?""}
4 --> |""No""|5[""Notify rejection""]
4 --> |""Yes""|7[""Send approval notification""]
5 --> 8[""EndNode""]
7 --> 6
6 --> 8
"
2,"
flowchart LR
0[""StartNode""] --> 1[""Accept Item""]

1 --> 2[""ForkNode1""]
2 --> 3[""Dairy""]
2 --> 4[""Other""]
2 --> 5[""Vegetable""]

3 --> 6[""Merge1""]
4 --> 6
5 --> 6

6 --> 7[""Fruits""]
7 --> 8[""Fruit Categorization""]

8 --> 9[""Vegetable""]
9 --> 10[""Vegetable Categorization""]

10 --> 11[""ForkNode2""]
11 --> 12[""Milk""]
11 --> 13[""Cheese""]
11 --> 14[""Non-perishable""]
11 --> 15[""Perishable""]

12 --> 16[""Merge2""]
13 --> 16
14 --> 16
15 --> 16

16 --> 17[""ForkNode3""]

17 --> 18[""Fruits & Temperature Weight and Date Center""]
17 --> 19[""Fruit Categorization & Temperature Weight and Date Center""]
17 --> 20[""Vegetable Categorization & Temperature Weight and Date Center""]
17 --> 21[""Milk & Temperature Weight and Date Center""]
17 --> 22[""Cheese & Temperature Weight and Date Center""]
17 --> 23[""Non-perishable & Temperature Weight and Date Center""]
17 --> 24[""Perishable & Temperature Weight and Date Center""]

18 --> 25[""Merge3""]
19 --> 25
20 --> 25
21 --> 25
22 --> 25
23 --> 25
24 --> 25

25 --> 26[""Store items based on policy""]
26 --> 27[""EndNode""]
"
3,"
graph LR
0[""StartNode""] --> 1[""Detect incident""]
1 --> 2[""Check financial impact?""]
2 --> |""YES""|3[""Open EMS""]
2 --> |""NO""|15[""EndNode""]
3 --> 4[""ForkNode""]
4 --> 5[""Contact Application Team""]
4 --> 6[""Contact SA Team""]
4 --> 7[""Contact DBA Team""]
4 --> 8[""Open conference line""]
9{""JoinNode""} --> 10[""Troubleshoot the issue""]
5 --> 9
6 --> 9
7 --> 9
8 --> 9

10 --> 11[""Check if resolution is known?""]
11 --> |""YES""|12[""Fix issue""]
11 --> |""NO""|13[""Check with vendor""]
13 --> 14{""Vendor has fix?""}
14 --> |""YES""|12
14 --> |""NO""|16[""Failover to COB""]
16 --> 12

12 --> 17[""Resolve and close EMS""]
17 --> 15
"
4,"
graph LR
0[""StartNode""] --> 1[""Open Event Creation Page""]
1 --> 2[""Populate Name Form""]
2 --> 3[""Populate Time Forms""]
3 --> 4[""Populate Location Form""]
4 --> 5[""Populate Additional Information""]
5 --> 6[""Configure Privacy Settings""]
6 --> 7[""Confirm Event Creation""]
7 --> 8{""Name Populated?""}
8 --> |""No""| 2
8 --> |""Yes""| 9{""End Time After Start Time?""}
9 --> |""Yes""| 10[""Save Event Information""]
9 --> |""No""| 11[""Display Incorrect Time Notification""]
11 --> 3
10 --> 12[""EndNode""]
"
5,"
graph LR
0[""StartNode""] --> 1[""Weekly, in time for discounts""]
1 --> 2[""Pay invoices (fully automated process)""]
2 --> 3[""Generate payment report""]
3 --> 4[""Send to Accounts Receivable Department""]
3 --> 5[""Send payment report to registry""]
3 --> 6[""Generate monthly invoices ($35 per paid invoice)""]
4 --> 7[""Join Node""]
5 --> 7
6 --> 7
7 --> 8[""Send out invoices""]
8 --> 9[""EndNode""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select warehouse and reserve inventory""]
2 --> 3{""Purpose? \nReplenish?/Confirm?""}
3 --> |""Yes (Replenish)""|4[""EndNode""]
3 --> |""No (Confirm order)""|4
"
7,"
graph LR
0[StartNode] --> VerifyRFQ[Verify RFQ]
VerifyRFQ -->|No| AskInfo[Ask for more information]
AskInfo --> D2[Need more info?]
D2 -->|Yes| Clarify[Provide clarification]
Clarify --> VerifyRFQ
D2 -->|No| Analyze[Analyze and provide L&M cost estimates]
VerifyRFQ -->|Yes| Analyze
Analyze --> VerifyAgain[Check RFQ again]
VerifyAgain -->|No| AskInfo
VerifyAgain -->|Yes| Overhead[Add overhead costs]
Overhead --> Pricing[Generate pricing options]
Pricing --> Quote[Generate sales quote]
Quote --> EndNode[EndNode]
"
8,"  
graph LR  
0[""StartNode""] --> 1[""Receive negotiated conditions""]  
1 --> 2{""Check completeness (D1)""}  
2 --> |""No""|3[""Send failure notice""] --> 4[""EndNode""]  
2 --> |""Yes""|5[""Risk assessment 1""]  
5 --> 6{""Check completeness (D2)""}  
6 --> |""No""|3  
6 --> |""Yes""|7[""Risk assessment 2""]  
7 --> 8[""Check reinsurance option""]  
8 --> 9[""Finish contract""] --> 4  
"
9,"
graph LR
0[StartNode] --> 1[""Hungry feeling""]
1 --> 2[""Decide to cook""]
2 --> 3[""Choose recipes""]
3 --> 4[""Prepare ingredients""]
4 --> 5[""Prepare water for pasta""]
4 --> 6[""Prepare salad for washing""]
5 --> 7[""Put pasta into water""]
6 --> 8[""Wash salad""]
7 --> 9[""Prepare ingredients to make sauce""]
8 --> 10[""Prepare ingredients to make dressing""]
9 --> 11[""Make sauce""]
10 --> 12[""Make dressing""]
11 --> 13[""Bring dishes to table""]
12 --> 13
13 --> 14[""Prepare dishes""]
14 --> 15[""Bring meal to table""]
15 --> 16[""Finish lunch""]
"
10,"  
graph LR  
0[""StartNode""] --> 1[""Receive problem description""]  
1 --> 2{""Can handle?""}  
2 --> |""Yes""|3[""Explain solution""]  
3 --> 4[""EndNode""]  
2 --> |""No""|5[""Send email to support""]  
5 --> 6[""Wait for answer""]  
6 --> 2  
"
11,"
graph LR
0[""StartNode""] --> 1[""Complete purchase order""]
1 --> 2[""Send the invoice""]
1 --> 3[""Send the goods""]
2 --> 4[""EndNode""]
3 --> 4
"
12,"
graph LR
0[""StartNode""] --> 1[""Prepare Shipment Order""]
1 --> 2[""Send Shipment Order""]
2 --> 3{""Carrier Response?""}
3 --> |""Positive/Yes""|4[""Accept Shipment Order""]
3 --> |""No""|5[""Link A""]
4 --> 6{""Response Checked Again?""}
6 --> |""Yes""|7[""Ordered Shipment Realized""]
6 --> |""No""|5
7 --> 8[""EndNode""]
5 --> 8
"
13,"
graph LR
0[""StartNode""] --> 1[""Order received""]
1 --> 2[""Create invoice""]
1 --> 3[""Prepare shipping""]
2 --> 4[""Send invoice""]
4 --> 5[""Confirm payment""]
3 --> 6[""Ship item""]
5 --> 7[""MergeNode""]
6 --> 7
7 --> 8[""EndNode""]
"
14,"
graph LR
0[""StartNode""] --> 1{""Can fulfill? (Check 1)""}
1 --> |Yes| 2[""Confirm Order""]
1 --> |No| 3[""Reject Order""]
3 --> 4[""Notify Rejected""] --> 5[""EndNode""]
2 --> 6{""Can fulfill? (Check 2)""}
6 --> |Yes| 7[""Deliver Order""]
6 --> |No| 8[""Reject Order*""]
8 --> 4
7 --> 9[""Notify Delivered""] --> 5
"
15,"
graph LR
0[""StartNode""] --> 1{""Verify RFQ?""}
1 --> |""Yes""| 2[""Analyze RFQ and provide L&M cost estimates""]
1 --> |""No""| 3[""Ask for more information""]
3 --> 1
2 --> 4{""Verify RFQ again?""}
4 --> |""Yes""|5[""Add overhead cost and generate pricing options""]
4 --> |""No""|3
5 --> 6[""Generate sales quote""]
6 --> 7[""EndNode""]
"
