,0
0,"
graph LR
0[""StartNode""] --> 1[""Interview Patients""]
1 --> 2[""File results and expertise""]
2 --> 3[""Create report""]
3 --> 4{""Answer?""}
4 --> |""Yes""|5[""Ask for external expertise""]
4 --> |""No""|6[""Check if expert responds in time""]
5 --> 7{""Answer?""}
7 --> |""Yes""|8[""Forward to referee""]
7 --> |""No""|9[""Check if expert responds in time""]
9 --> 5
5 --> 8
5 --> 6
8 --> 10[""Fill out the check""]
10 --> 11[""EndNode""]
"
1,"
graph LR
0[""StartNode""] --> 1[""Register participation""]
1 --> 2{""Fees are required?""}
2 --> |""Yes""|3[""Create purchase request""]
2 --> |""No""|4[""Register post-seminar results""]
3 --> 5[""Check purchase""]
5 --> 6{""Purchase approved?""}
6 --> |""No""|7[""Notify rejection""]
7 --> 8[""EndNode""]
6 --> |""Yes""|9[""Send approval notification""]
9 --> 4
4 --> 8
"
2,"
flowchart LR
0[""Accept Item""] --> 1[""Dairy""]
0 --> 2[""Other""]
0 --> 3[""Vegetable""]
0 --> 4[""Fruits""]
0 --> 5[""Fruit Categorization""]
3 --> 6[""Vegetable""]
5 --> 7[""Vegetable Categorization""]
0 --> 8[""Milk""]
8 --> 9[""Cheese""]
0 --> 10[""Non-perishable""]
0 --> 11[""Perishable""]
10 --> 12[""Temperature Weight and Date Center for Non-perishable""]
11 --> 13[""Temperature Weight and Date Center for Perishable""]
10 --> 14[""Store items""]
0 --> 10
0 --> 3
0 --> 8
3 --> 14
8 --> 14
14 --> 15[""EndNode""]
"
3,"
graph LR
0[""StartNode""] --> 1[""Detect Incident""]
1 --> 2{""Is financial impact present?""}
2 --> |""YES""|3[""Check Financial Impact""]
2 --> |""NO""|4[""End Process""]
3 --> 5[""Open EMS""]
5 --> 6[""Contact Application Team""]
6 --> 7[""Contact SA Team""]
7 --> 8[""Open Conference Line""]
8 --> 9[""Troubleshoot Issue""]
9 --> 10[""Contact DBA Team""]
10 --> 11{""Is resolution known for issue?""}
11 --> |""YES""|12[""Check with Vendor""]
11 --> |""NO""|13[""Fix Issue""]
12 --> |""YES""|14[""Fix Issue""]
14 --> 15[""Resolve and Close EMS""]
12 --> |""NO""|16[""Fix Issue""]
15 --> 17[""EndNode""]
13 --> 15
14 --> 15
12 --> 16
16 --> 17
13 --> 18{""Does vendor have a fix?""}
18 --> |""YES""|19[""Fix Issue""]
18 --> |""NO""|20[""Failover to COB""]
19 --> 15
20 --> 15
"
4,"
graph LR
0[""StartNode""] --> 1[""Open event creation page""]
1 --> 2[""Populate name form""]
2 --> 3[""Populate time forms""]
3 --> 4[""Populate location forms""]
4 --> 5[""Populate additional information""]
5 --> 6[""Configure privacy settings""]
6 --> 7[""Confirm event creation""]
7 --> 8{""Name form populated?""}
8 --> |""Yes""|9[""Check end time""]
9 --> 10{""End time after start time?""}
10 --> |""Yes""|11[""Save event information""]
10 --> |""No""|12[""Display incorrect time notification""]
11 --> 13[""EndNode""]
12 --> 14[""Populate time forms""]
14 --> 15[""EndNode""]
"
5,"
graph LR
0[""Weekly At the beginning""] --> 1[""Pay invoices""]
1 --> 2[""Generate payment report""]
2 --> 3[""Send payment report to AR""]
2 --> 4[""Send payment report to registry""]
4 --> 5[""Generate Monthly Invoices""]
3 --> 5
5 --> 6[""Send out invoices""]
6 --> 7[""EndNode""]
"
6,"
graph LR
0[""StartNode""] --> 1[""Submit Purchase Order""]
1 --> 2[""Select Warehouse""]
2 --> 3[""Reserve Inventory""]
3 --> 4{""Purpose of order""}
4 --> |""Replenish inventory""|5[""Replenish inventory""]
4 --> |""Confirm order for delivery""|6[""EndNode""]
5 --> 7[""EndNode""]
"
7,"
graph LR
0[""StartNode""] --> 1[""Verify RFQ""]
1 --> 2{""RFQ verified""}
2 --> 3[""Analyze RFQ""]
3 --> 4[""Provide L&M cost estimates""]
4 --> 5[""Check if RFQ is verified""]
5 --> |""False""|6[""Ask for more information""]
5 --> |""True""|7[""Add overhead costs""]
7 --> 8[""Generate pricing options""]
8 --> 9[""Generate sales quote""]
6 --> 7
7 --> 8
8 --> 9
9 --> 10[""EndNode""]
"
8,"
graph LR
0[""StartNode""] --> 1[""Receive negotiated conditions""]
1 --> 2{""Data complete?""}
2 --> |""Yes""|3[""Perform risk assessment""]
2 --> |""No""|4[""Send failure notice""]
4 --> 5[""EndNode""]
5 --> 6[""Check for completeness""]
6 --> 7{""Data complete?""}
7 --> |""Yes""|8[""Perform risk assessment""]
7 --> |""No""|9[""Check for completeness""]
9 --> 7
8 --> 10[""Check reinsurance option""]
10 --> 11[""Finish contract""]
11 --> 12[""EndNode""]
"
9,"
graph LR
0[""StartNode""] --> 1[""Hungry feeling""]
1 --> 2[""Deciding to cook""]
2 --> 3[""Choose recipes""]
3 --> 4[""Prepare ingredients""]
4 --> 5[""Prepare water for pasta""]
4 --> 6[""Prepare salad for washing""]
5 --> 7[""Put pasta into water""]
6 --> 8[""Wash salad""]
7 --> 9[""Prepare ingredients to make a sauce""]
8 --> 10[""Prepare ingredients to make a dressing""]
9 --> 11[""Make sauce""]
10 --> 12[""Make dressing""]
12 --> 13[""Bring dishes to table""]
13 --> 14[""Prepare dishes""]
14 --> 15[""Bring meal to table""]
15 --> 16[""Finish lunch""]
16 --> 17[""EndNode""]
"
10,"
graph LR
0[""StartNode""] --> 1[""Detailed description of the problem obtained""]
1 --> 2{""Can handle problem myself?""}
2 --> |""Yes""|3[""Explain the solution""]
2 --> |""No""|4[""Email sent to support system""]
4 --> 5{""Answer received from support system?""}
5 --> |""Yes""|3[""Explain the solution""]
5 --> |""No""|4
"
11,"
graph LR
0[""StartNode""] --> 1[""Complete Purchase Order""]
1 --> 2[""Send Invoice""]
1 --> 3[""Send Goods""]
2 --> 4[""EndNode""]
3 --> 4
"
12,"
graph LR
0[""StartNode""] --> 1[""Preparation of shipment order""]
1 --> 2[""Send shipment order""]
2 --> 3{""Response from carrier is positive?""}
3 --> |""No""|4[""EndNode""]
3 --> |""Yes""|5[""Accept shipment order""]
5 --> 6{""Response from carrier is positive?""}
6 --> |""No""|7[""EndNode""]
6 --> |""Yes""|8[""Realize ordered shipment""]
8 --> 9[""EndNode""]
"
